,Intercept,Description1[T.LiveSalmonella],Description1[T.Probiotics-AND-LiveSalmonella],Unknown[T.B]
y14,0.533871326,5.83E-07,1.36E-15,0.382380621
y6,5.64E-05,2.09E-15,2.09E-15,0.625753313
y0,8.42E-15,1.65E-13,2.75E-14,0.591743441
y27,7.44E-10,2.56E-08,6.76E-08,0.460321344
y207,1.08E-05,2.03E-05,2.03E-05,0.30990384
y174,3.29E-05,0.000102031,3.91E-05,0.746212239
y294,3.94E-18,0.000887142,9.48E-05,0.448059245
y42,0.033491808,0.055826744,0.000291845,0.514578051
y43,0.000260666,0.266408348,0.000320472,0.145755106
y132,0.815572427,0.000442667,0.000591021,0.611716175
y35,0.001641146,0.0126751,0.000789371,0.564350494
y447,1.65E-17,0.836744138,0.00099771,0.836744138
y5,0.001022301,0.069893203,0.001639439,0.150949533
y156,0.000263096,0.913565462,0.00165952,0.913565462
y96,0.827665582,0.199077533,0.002617186,0.651959156
y423,2.48E-05,0.240451981,0.002698639,0.653668271
y203,0.004049916,0.003657457,0.004049916,0.486334608
y168,0.019325748,0.00292305,0.004231048,0.284494455
y38,0.445699846,0.481030342,0.005518021,0.67740659
y77,0.005942824,0.033938542,0.005942824,0.49411272
y182,0.071858045,0.130935505,0.006061465,0.969379473
y97,0.940527581,0.940527581,0.007403428,0.940527581
y1,0.000332022,0.000815202,0.008212613,0.88217837
y58,0.359639272,0.359639272,0.015055998,0.846646584
y269,0.01623656,0.01623656,0.01623656,0.452286994
y190,0.002931384,0.020742304,0.017886158,0.235177118
y117,0.873798824,0.873798824,0.022063873,0.423852748
y446,3.52E-18,0.073914822,0.023392585,0.590027143
y112,0.794262646,0.794262646,0.023749114,0.418048935
y234,3.14E-08,0.975815596,0.02545475,0.429141569
y147,0.019369624,0.019369624,0.026087048,0.258423883
y430,0.004462779,0.041544034,0.026553049,0.200189027
y56,0.277180859,0.340884432,0.033459536,0.553746625
y205,0.999869564,0.999869564,0.034600107,0.359140808
y326,0.021581432,0.021581432,0.03492582,0.824260475
y360,1.28E-20,0.035820958,0.035820958,0.487285786
y108,0.001375745,0.270051906,0.037236835,0.162170981
y157,0.008863771,0.012234687,0.047500512,0.689491472
y270,0.039097317,0.049876734,0.049876734,0.674292431
y290,3.51E-13,0.342813711,0.049940587,0.01665184
y83,0.206715703,0.050304625,0.050304625,0.279607365
y110,0.195503732,0.051341279,0.051341279,0.528385361
y259,3.94E-05,0.112742346,0.053857285,0.583630537
y138,0.000128045,0.113791794,0.055340822,0.887686211
y196,0.055827637,0.371916902,0.055827637,0.217707688
y280,4.41E-08,0.016361668,0.057256244,0.326023802
y394,4.54E-10,7.26E-05,0.057777827,0.44022758
y28,0.076478361,2.55E-05,0.060795012,0.566888476
y146,0.069913079,0.069913079,0.069913079,0.278150383
y455,0.011574329,0.076173109,0.076173109,0.489560527
y137,0.813170381,0.049657379,0.084180369,0.458563146
y289,5.64E-16,0.954047618,0.084484083,0.843953015
y334,1.73E-05,0.069200826,0.084585783,0.243921851
y442,2.67E-06,0.07055951,0.085788761,0.07055951
y267,0.033272607,0.086748264,0.086748264,0.375382492
y215,0.072493395,0.091154381,0.091154381,0.728994211
y201,0.850358356,0.850358356,0.096321615,0.850358356
y229,0.066911511,0.097513851,0.097513851,0.629047344
y224,0.098460758,0.429609067,0.098460758,0.940992412
y410,5.08E-17,0.046399519,0.113597528,0.621953157
y179,0.088706564,0.108980475,0.114592987,0.127175438
y66,0.030522689,0.015225744,0.116258119,0.875811676
y158,0.005289805,0.162130447,0.121368837,0.915711751
y86,0.124438824,0.112160007,0.124438824,0.128774176
y257,1.27E-06,0.705070766,0.128992934,1.42E-07
y24,0.518216032,0.006047338,0.131848154,0.126330689
y380,7.40E-16,0.18806894,0.133410062,0.133410062
y181,0.042774543,0.038316843,0.135378338,0.54393253
y219,0.89254915,0.89254915,0.142452178,0.89254915
y273,0.144956455,0.032820107,0.144956455,0.913099482
y298,0.145089078,0.145089078,0.145089078,0.152434894
y251,0.145089078,0.145089078,0.145089078,0.152434894
y265,0.145089078,0.145089078,0.145089078,0.152434894
y266,0.145089078,0.145089078,0.145089078,0.152434894
y252,0.145089078,0.145089078,0.145089078,0.152434894
y302,0.145089078,0.145089078,0.145089078,0.152434894
y281,0.145089078,0.145089078,0.145089078,0.152434894
y238,0.145089078,0.145089078,0.145089078,0.152434894
y264,0.145089078,0.145089078,0.145089078,0.152434894
y253,0.145089078,0.145089078,0.145089078,0.152434894
y239,0.145089078,0.145089078,0.145089078,0.152434894
y228,0.145089078,0.145089078,0.145089078,0.152434894
y20,0.063470452,0.142092149,0.14790535,0.975706596
y441,0.008656087,0.148901776,0.148901776,0.353773461
y176,0.022096154,0.784768826,0.15170077,0.784768826
y255,0.152353984,0.152353984,0.152353984,0.777696927
y101,0.474042697,0.205449003,0.165135418,0.11711326
y119,0.865108436,0.332891583,0.171849118,0.54658743
y2,0.285657342,8.11E-08,0.173854082,0.449523148
y422,6.39E-05,0.157826527,0.174380244,0.333614197
y199,0.177801758,0.177801758,0.177801758,0.177801758
y398,3.60E-06,0.142454621,0.17806564,0.312536335
y40,0.108029857,0.087214146,0.180207743,0.108029857
y126,0.095852996,0.095852996,0.180393503,0.728206853
y208,0.168435177,0.181339554,0.181339554,0.653492481
y25,0.275516718,0.004003326,0.184020173,0.275516718
y376,0.127915408,0.185454896,0.185454896,0.481852603
y282,0.127915408,0.185454896,0.185454896,0.481852603
y301,0.127915408,0.185454896,0.185454896,0.481852603
y358,0.127915408,0.185454896,0.185454896,0.481852603
y283,0.127915408,0.185454896,0.185454896,0.481852603
y268,0.127915408,0.185454896,0.185454896,0.481852603
y375,0.127915408,0.185454896,0.185454896,0.481852603
y400,0.127915408,0.185454896,0.185454896,0.481852603
y319,0.127915408,0.185454896,0.185454896,0.481852603
y420,0.127915408,0.185454896,0.185454896,0.481852603
y377,0.127915408,0.185454896,0.185454896,0.481852603
y399,0.127915408,0.185454896,0.185454896,0.481852603
y320,0.127915408,0.185454896,0.185454896,0.481852603
y419,0.127915408,0.185454896,0.185454896,0.481852603
y424,0.127915408,0.185454896,0.185454896,0.481852603
y300,0.127915408,0.185454896,0.185454896,0.481852603
y299,0.127915408,0.185454896,0.185454896,0.481852603
y170,0.185492404,0.677045955,0.185492404,0.558690574
y93,0.636494493,0.159358161,0.186321719,0.186321719
y222,0.194223945,0.187098663,0.187098663,0.187098663
y421,4.94E-06,0.153589864,0.188386388,0.322318278
y254,0.133221711,0.189706556,0.189706556,0.485495677
y374,0.000326422,0.387463191,0.190051737,0.85927539
y92,0.280535721,9.97E-05,0.191208525,0.137629888
y109,0.147118177,0.556861976,0.20215831,0.66973563
y397,8.32E-08,0.139969374,0.206075524,0.298359204
y87,0.151586286,0.216148028,0.216148028,0.452909171
y317,0.21715588,0.223745467,0.21715588,0.427079645
y148,0.908759667,0.908759667,0.217584124,0.908759667
y372,0.160568019,0.472248356,0.218501074,0.771572676
y304,0.142737292,0.223420303,0.219500815,0.546112982
y373,0.35306882,0.375803949,0.220830137,0.859730705
y479,2.40E-05,0.197145713,0.222848376,0.358686538
y125,0.143904543,0.106324659,0.237780791,0.237780791
y75,0.001760693,0.683612166,0.24176837,0.802938015
y233,0.004814056,0.215174976,0.25642832,0.25642832
y378,0.234586278,0.259812679,0.259812679,0.53942117
y47,0.259984408,0.126270481,0.259984408,0.282939733
y107,0.207515477,0.997873949,0.260234426,0.997873949
y231,0.260619851,0.260619851,0.260619851,0.708041487
y507,8.59E-25,0.890235977,0.260711059,0.399227721
y180,0.264414295,0.674100871,0.264414295,0.264414295
y210,0.006654545,0.581256137,0.265438613,0.565326306
y50,0.673685883,0.272069911,0.272069911,0.673685883
y21,0.287344409,0.038133526,0.273428412,0.029742541
y52,0.965604245,0.27955645,0.27955645,0.464281605
y357,0.063039593,0.063039593,0.282269602,0.063039593
y243,2.21E-05,0.84105155,0.282510674,0.84105155
y191,0.291123608,0.291123608,0.291123608,0.914086791
y8,0.675863187,0.343525246,0.292103991,0.614040624
y258,0.998358309,0.998358309,0.294943676,0.998358309
y403,0.295423818,0.322757347,0.295423818,0.820125989
y121,8.37E-09,0.012702785,0.298381028,0.661178964
y18,0.08900724,0.2936588,0.299895681,0.453280405
y379,0.367176231,0.696546027,0.303573244,0.878161453
y241,0.306888258,0.428724078,0.306888258,0.306888258
y493,1.61E-07,0.785034499,0.310627924,0.310627924
y155,0.80317277,0.80317277,0.31335953,0.389111171
y443,0.437823198,0.315456312,0.314648606,0.635074965
y221,0.396468762,0.321211961,0.321211961,0.321211961
y142,0.616434876,0.799236772,0.325910036,0.121797456
y212,0.842850891,0.842850891,0.339816948,0.672392188
y499,1.83E-09,0.340658783,0.340658783,0.572170252
y192,0.731836591,0.345001609,0.345001609,0.372509765
y17,0.345274124,0.930340252,0.345274124,0.930340252
y369,0.347368025,0.347368025,0.347368025,0.347368025
y293,0.989691668,0.933448285,0.347895761,0.347895761
y297,0.347982409,0.347982409,0.347982409,0.985277028
y359,0.348273135,0.348273135,0.348273135,0.596132228
y64,0.073893022,0.423097108,0.35141458,0.508300219
y342,7.40E-14,0.365892391,0.365892391,0.566276158
y177,0.011890164,0.382061348,0.365904788,0.382061348
y80,0.813436026,0.813436026,0.370868796,0.370868796
y242,5.91E-13,0.543935428,0.374217349,0.374217349
y84,0.000122948,0.374824023,0.374824023,0.374824023
y306,0.260396206,0.260396206,0.375957492,0.913479083
y129,0.359418825,0.380275013,0.377480329,0.377480329
y356,0.247103664,0.247103664,0.3786444,0.348208208
y431,0.153537556,0.910471632,0.382285646,0.415734296
y486,0.360802295,0.465205885,0.383370517,0.816805675
y3,0.001183011,0.177138319,0.392525662,0.705772416
y131,0.995796723,0.515037176,0.392947652,0.995796723
y41,0.675419837,0.941331664,0.397847694,0.66610104
y74,0.852196868,0.410713183,0.400922325,0.737610721
y99,0.582176628,0.346043036,0.40400026,0.346043036
y88,0.407626295,0.407626295,0.407626295,0.407626295
y130,1.50E-07,0.008455815,0.410018809,0.982769087
y279,5.71E-08,0.4833025,0.417189126,0.346555789
y223,0.05637063,0.421469504,0.424909192,0.421469504
y200,7.56E-07,0.973416699,0.434006079,0.434006079
y272,2.10E-13,0.288213999,0.434206814,0.218267856
y167,0.247803482,0.512766418,0.437988361,0.247803482
y16,0.251021793,0.073801189,0.439446764,0.749262131
y9,0.113258187,0.441899058,0.441899058,0.977363766
y4,0.444958254,0.03917061,0.444958254,0.444958254
y149,0.909640951,0.445452856,0.445452856,0.909640951
y65,0.00087189,0.352637264,0.452142479,0.352637264
y103,0.458485599,0.478568818,0.458485599,0.506705395
y68,0.767481964,0.461173363,0.461173363,0.829104193
y225,0.000161048,0.021701568,0.463780457,0.238333642
y29,0.473146799,0.2201177,0.473146799,0.473146799
y489,9.97E-07,0.473603263,0.473603263,0.473603263
y102,0.474489739,0.970076884,0.474489739,0.970076884
y478,0.289231988,0.289231988,0.484297228,0.484297228
y444,2.54E-06,0.486805363,0.486805363,0.486805363
y492,0.002368487,0.48993362,0.48993362,0.079426529
y363,0.490686661,0.724694426,0.490686661,0.490686661
y426,2.60E-05,0.783931233,0.491760453,0.491760453
y178,0.000482053,0.280644176,0.502679834,0.502679834
y214,0.503667573,0.503667573,0.503667573,0.503667573
y128,0.504657126,0.504657126,0.504657126,0.504657126
y195,7.77E-05,0.890887425,0.508546107,0.648591286
y428,1.20E-05,0.514421928,0.514421928,0.514421928
y503,1.77E-08,0.519131655,0.519131655,0.519131655
y36,0.519244922,0.519244922,0.519244922,0.519244922
y275,0.662343176,0.040576184,0.52503934,0.848562199
y459,1.59E-06,0.741851534,0.53397014,0.021635915
y404,3.66E-07,0.679980161,0.538197013,0.467865839
y481,1.53E-06,0.539692235,0.539692235,0.539692235
y412,0.187758005,0.187758005,0.540032665,0.187758005
y15,0.090943511,0.449361564,0.54632248,0.029370752
y354,0.000161698,0.776579855,0.549446577,0.849896567
y408,1.24E-06,0.550031238,0.550031238,0.158978393
y145,0.552793338,0.354592906,0.552793338,0.267289654
y497,8.61E-07,0.697179984,0.556317949,0.503550476
y53,0.559764109,0.559764109,0.559764109,0.559764109
y506,0.204537059,0.118670726,0.562071341,0.452455444
y312,0.75109352,0.563562929,0.563562929,0.75109352
y115,0.563863065,0.563863065,0.563863065,0.563863065
y425,5.52E-08,0.631507025,0.565933167,0.445778887
y78,0.801499617,0.566619857,0.566619857,0.566619857
y480,2.42E-07,0.573819324,0.573819324,0.573819324
y13,0.97771887,0.97771887,0.578140105,0.97771887
y413,0.254980702,0.254980702,0.579865452,0.56578913
y49,0.43049131,0.43049131,0.580997434,0.580997434
y61,0.067668156,0.003703834,0.581496527,0.477880303
y288,3.75E-17,0.786343652,0.581923297,0.786343652
y55,0.589520226,0.584589741,0.584589741,0.857174906
y496,1.38E-07,0.650651525,0.585291573,0.48340577
y495,0.59533983,0.897076713,0.59533983,0.899989814
y165,0.292847206,0.75460804,0.596488358,0.292847206
y318,1.03E-07,0.642088365,0.596691508,0.485243022
y23,0.563852586,0.037124638,0.598444169,0.24306143
y30,0.591233305,0.692049817,0.599955007,0.591233305
y45,0.600894008,0.600894008,0.600894008,0.600894008
y341,0.601082145,0.601082145,0.601082145,0.601082145
y345,0.002341009,0.604610673,0.604610673,0.372734435
y159,0.954434034,0.954434034,0.608630741,0.608630741
y160,0.001015399,0.458224879,0.61051419,0.942451611
y141,0.815753867,0.036467819,0.612309911,0.612309911
y31,0.612667687,0.612667687,0.612667687,0.612667687
y287,0.805339329,0.805339329,0.617684737,0.617684737
y123,0.73374301,0.73374301,0.627139951,0.73374301
y7,0.627601,0.70149364,0.627601,0.627601
y237,0.83558376,0.83558376,0.628948587,0.628948587
y172,0.636433751,0.636433751,0.636433751,0.558691893
y460,5.96E-08,0.952192932,0.636927635,0.411707689
